id,province,city,barangay,latitude,logitude
249486,AGUSAN DEL NORTE,BUTUAN CITY,DIEGO SILANG POBLACION,8.95946979522705,125.55861663818399
249633,AGUSAN DEL NORTE,BUTUAN CITY,DON FRANCISCO,8.87858963012701,125.620567321777
249437,AGUSAN DEL NORTE,BUTUAN CITY,DOONGAN,8.95005989074713,125.529747009277
249682,AGUSAN DEL NORTE,BUTUAN CITY,DULAG,8.83631038665777,125.565162658692
249419,AGUSAN DEL NORTE,BUTUAN CITY,DUMALAGAN,8.967100143432619,125.451850891113
249701,AGUSAN DEL NORTE,BUTUAN CITY,FLORIDA,8.804849624633789,125.641639709473
249498,AGUSAN DEL NORTE,BUTUAN CITY,GOLDEN RIBBON POBLACION,8.95520019531256,125.560440063477
249426,AGUSAN DEL NORTE,BUTUAN CITY,HOLY REDEEMER POBLACION,8.96903991699219,125.543006896973
249470,AGUSAN DEL NORTE,BUTUAN CITY,HUMABON POBLACION,8.96617984771723,125.55933380126999
249490,AGUSAN DEL NORTE,BUTUAN CITY,IMADEJAS POBLACION,8.9554500579834,125.547782897949
249508,AGUSAN DEL NORTE,BUTUAN CITY,JOSE RIZAL POBLACION,8.9554500579834,125.547782897949
249544,AGUSAN DEL NORTE,BUTUAN CITY,KINAMLUTAN,8.93832015991217,125.549003601074
249493,AGUSAN DEL NORTE,BUTUAN CITY,LAPU-LAPU POBLACION,8.95849037170416,125.54541015625
249440,AGUSAN DEL NORTE,BUTUAN CITY,LEMON,8.94511032104492,125.61681365966801
249463,AGUSAN DEL NORTE,BUTUAN CITY,LEON KILAT POBLACION,8.96415996551514,125.547813415527
249452,AGUSAN DEL NORTE,BUTUAN CITY,LIBERTAD,8.94143962860107,125.50891876220699
249468,AGUSAN DEL NORTE,BUTUAN CITY,LIMAHA POBLACION,8.96415996551514,125.547813415527
249284,AGUSAN DEL NORTE,BUTUAN CITY,LOS ANGELES,9.02493953704834,125.64893341064501
249312,AGUSAN DEL NORTE,BUTUAN CITY,LUMBOCAN,8.98731994628901,125.51318359375
249692,AGUSAN DEL NORTE,BUTUAN CITY,MAGUINDA,8.84790992736828,125.62996673584
249511,AGUSAN DEL NORTE,BUTUAN CITY,MAHAY,8.935810089111381,125.62615966796899
249404,AGUSAN DEL NORTE,BUTUAN CITY,MAHOGANY POBLACION,8.971159934997619,125.557357788086
249631,AGUSAN DEL NORTE,BUTUAN CITY,MAIBU,8.87782955169678,125.611068725586
249821,AGUSAN DEL NORTE,BUTUAN CITY,MANDAMO,8.776689529419,125.63387298584
249706,AGUSAN DEL NORTE,BUTUAN CITY,MANILA DE BUGABUS,8.81879997253429,125.574378967285
249513,AGUSAN DEL NORTE,BUTUAN CITY,MAON POBLACION,8.95162963867199,125.565010070801
249330,AGUSAN DEL NORTE,BUTUAN CITY,MASAO,8.98324012756348,125.496063232422
249325,AGUSAN DEL NORTE,BUTUAN CITY,MAUG,8.98250961303711,125.546119689942
249492,AGUSAN DEL NORTE,BUTUAN CITY,NEW SOCIETY VILLAGE POBLACION,8.96039009094244,125.553817749023
249639,AGUSAN DEL NORTE,BUTUAN CITY,NONG-NONG,8.86643981933594,125.505630493164
249413,AGUSAN DEL NORTE,BUTUAN CITY,OBRERO POBLACION,8.9778299331665,125.554092407227
249433,AGUSAN DEL NORTE,BUTUAN CITY,ONG YIU POBLACION,8.971159934997619,125.557357788086
249315,AGUSAN DEL NORTE,BUTUAN CITY,PAGATPATAN,9.017049789428711,125.525146484375
249517,AGUSAN DEL NORTE,BUTUAN CITY,PANGABUGAN,8.93904018402094,125.570106506348
249305,AGUSAN DEL NORTE,BUTUAN CITY,PIANING,8.98913955688471,125.651802062988
249554,AGUSAN DEL NORTE,BUTUAN CITY,PIGDAULAN,8.905650138855039,125.617309570312
249348,AGUSAN DEL NORTE,BUTUAN CITY,PINAMANCULAN,8.97776031494152,125.451271057129
249418,AGUSAN DEL NORTE,BUTUAN CITY,PORT POYOHON POBLACION,8.96903991699219,125.543006896973
249489,AGUSAN DEL NORTE,BUTUAN CITY,RAJAH SOLIMAN POBLACION,8.96094989776611,125.55811309814501
249603,AGUSAN DEL NORTE,BUTUAN CITY,SALVACION,8.8849401473999,125.631866455078
249448,AGUSAN DEL NORTE,BUTUAN CITY,SAN IGNACIO POBLACION,8.96504974365234,125.547416687012
249762,AGUSAN DEL NORTE,BUTUAN CITY,SAN MATEO,8.80786037445068,125.590713500977
249542,AGUSAN DEL NORTE,BUTUAN CITY,SAN VICENTE,8.92084980010998,125.567123413086
249270,AGUSAN DEL NORTE,BUTUAN CITY,SANTO NIÑO,9.03713035583502,125.655471801758
249471,AGUSAN DEL NORTE,BUTUAN CITY,SIKATUNA POBLACION,8.96551990509033,125.559692382812
249481,AGUSAN DEL NORTE,BUTUAN CITY,SILONGAN POBLACION,8.9624395370484,125.55753326416
249667,AGUSAN DEL NORTE,BUTUAN CITY,SUMILE,8.872469902038631,125.66236114501999
249299,AGUSAN DEL NORTE,BUTUAN CITY,SUMILIHON,9.01721000671381,125.647491455078
249536,AGUSAN DEL NORTE,BUTUAN CITY,TAGABACA,8.92405033111572,125.567886352539
249314,AGUSAN DEL NORTE,BUTUAN CITY,TAGUIBO,8.98913955688471,125.651802062988
249479,AGUSAN DEL NORTE,BUTUAN CITY,TALIGAMAN,8.957710266113391,125.64244842529301
249478,AGUSAN DEL NORTE,BUTUAN CITY,TANDANG SORA POBLACION,8.96216964721685,125.551071166992
249344,AGUSAN DEL NORTE,BUTUAN CITY,TINIWISAN,8.986809730529789,125.574516296387
249680,AGUSAN DEL NORTE,BUTUAN CITY,TUNGAO,8.77517032623297,125.567993164063
249476,AGUSAN DEL NORTE,BUTUAN CITY,URDUJA POBLACION,8.96271991729742,125.55348968505899
249516,AGUSAN DEL NORTE,BUTUAN CITY,VILLA KANANGA,8.93832015991217,125.549003601074
249199,AGUSAN DEL NORTE,CABADBARAN CITY,ANTONIO LUNA,9.09391021728527,125.598876953125
249171,AGUSAN DEL NORTE,CABADBARAN CITY,BAY-ANG,9.0867395401001,125.58673095703101
249081,AGUSAN DEL NORTE,CABADBARAN CITY,BAYABAS,9.12963008880615,125.609252929688
249098,AGUSAN DEL NORTE,CABADBARAN CITY,CAASINAN,9.145709991455188,125.537788391113
249153,AGUSAN DEL NORTE,CABADBARAN CITY,CABINET,9.10914993286133,125.536819458008
