region_id,region,region_alias,province_id,province,city_id,city,barangay_id,barangay,population,province_cleaned,full_match_successful
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34222,SUMILIHON,4445,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1295,CABADBARAN CITY,34257,MABINI,5285,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34233,DE ORO,1778,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34232,BUGSUKAN,1749,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34231,OBRERO  (BGY. 18),8906,AGUSAN DEL NORTE,0
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34230,VILLA KANANGA,7548,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34229,URDUJA  (BGY. 9),107,AGUSAN DEL NORTE,0
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34228,TUNGAO,5930,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34227,TINIWISAN,2780,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34226,TANDANG SORA  (BGY. 12),3975,AGUSAN DEL NORTE,0
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34225,TALIGAMAN,3655,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34224,TAGUIBO,3718,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34223,TAGABACA,2813,AGUSAN DEL NORTE,1
